Log dosyasý oluþturuldu.
2024-12-29 20:44:27 | 4 | Kullanýcý: furkan | Baþarýlý giriþ
2024-12-29 20:44:28 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:44:31 | Dosya Silme | Kullanýcý: Kullanýcý ID: 4 | Dosya silindi: nüfus kayýt örneði.pdf
2024-12-29 20:44:32 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:44:42 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-29 20:44:54 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-29 20:45:08 | 2 | Kullanýcý: deneme | Baþarýlý giriþ
2024-12-29 20:45:09 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 2 | Dosyalar baþarýyla listelendi.
2024-12-29 20:45:14 | Dosya Yükleme | Kullanýcý: Kullanýcý ID: 2 | Dosya: BURS BAÞVURU FORMU .pdf
2024-12-29 20:45:15 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 2 | Dosyalar baþarýyla listelendi.
2024-12-29 20:45:16 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 2 | Dosyalar baþarýyla listelendi.
2024-12-29 20:45:19 | Dosya Paylaþma | Kullanýcý: Kullanýcý ID: 2 | Dosya: BURS BAÞVURU FORMU .pdf, Paylaþýlan: 5
2024-12-29 20:45:26 | 5 | Kullanýcý: apom | Baþarýlý giriþ
2024-12-29 20:45:27 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 5 | Dosyalar baþarýyla listelendi.
2024-12-29 20:45:40 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-29 20:58:53 | 4 | Kullanýcý: furkan | Baþarýlý giriþ
2024-12-29 20:58:54 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:59:03 | Yedekleme | Kullanýcý: Sistem | Yedekleme dizini oluþturuldu: backups
2024-12-29 20:59:03 | Dosya Yedekleme | Kullanýcý: Sistem | Dosya yedeklendi: adli-sicil-kaydi.pdf
2024-12-29 20:59:03 | Dosya Yükleme | Kullanýcý: Kullanýcý ID: 4 | Dosya: adli-sicil-kaydi.pdf
2024-12-29 20:59:04 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:59:14 | Dosya Yedekleme | Kullanýcý: Sistem | Dosya yedeklendi: yerlesim-yeri-ve-diger-adres.pdf
2024-12-29 20:59:14 | Dosya Yükleme | Kullanýcý: Kullanýcý ID: 4 | Dosya: yerlesim-yeri-ve-diger-adres.pdf
2024-12-29 20:59:15 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:59:36 | 4 | Kullanýcý: furkan | Baþarýlý giriþ
2024-12-29 20:59:37 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 20:59:40 | Dosya Silme | Kullanýcý: Kullanýcý ID: 4 | Dosya silindi: yerlesim-yeri-ve-diger-adres.pdf
2024-12-29 20:59:41 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-29 21:00:00 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-30 18:12:31 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-30 18:17:35 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 5 | Dosyalar baþarýyla listelendi.
2024-12-30 18:17:35 | Dosya Görüntüleme | Kullanýcý: admin | Kullanýcý ID: 5 dosyalarý görüntülendi.
2024-12-30 18:17:37 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 3 | Dosyalar baþarýyla listelendi.
2024-12-30 18:17:37 | Dosya Görüntüleme | Kullanýcý: admin | Kullanýcý ID: 3 dosyalarý görüntülendi.
2024-12-30 18:17:39 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 2 | Dosyalar baþarýyla listelendi.
2024-12-30 18:17:39 | Dosya Görüntüleme | Kullanýcý: admin | Kullanýcý ID: 2 dosyalarý görüntülendi.
2024-12-30 18:17:41 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-30 18:17:41 | Dosya Görüntüleme | Kullanýcý: admin | Kullanýcý ID: 4 dosyalarý görüntülendi.
2024-12-30 18:17:43 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-30 18:18:43 | 4 | Kullanýcý: furkan | Baþarýlý giriþ
2024-12-30 18:18:44 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-30 18:18:49 | Dosya Yedekleme | Kullanýcý: Sistem | Dosya yedeklendi: abg.pdf
2024-12-30 18:18:49 | Dosya Yükleme | Kullanýcý: Kullanýcý ID: 4 | Dosya: abg.pdf
2024-12-30 18:18:50 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-30 18:27:10 | 4 | Kullanýcý: furkan | Baþarýlý giriþ
2024-12-30 18:27:11 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-30 18:27:42 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 4 | Dosyalar baþarýyla listelendi.
2024-12-30 18:28:01 | Log Görüntüleme | Kullanýcý: admin | Log dosyasý görüntülendi
2024-12-30 18:29:38 | Dosya Listeleme | Kullanýcý: Kullanýcý ID: 5 | Dosyalar baþarýyla listelendi.
